id,name,description,created_at,updated_at
1,6-3-5,"6 Teilnehmer, 3 Ideen, 5 mal weiterreichen, 5 Minuten",2024-08-05 10:54:26,2024-08-05 10:54:26
2,Crazy 8,"8 Minuten, 8 Ideen pro Teilnehmer",2024-08-05 11:24:46,2024-08-05 11:24:46
3,Walt Disney,"Träumer, Realist und Kritiker",2024-08-05 11:24:46,2024-08-05 11:24:46
4,6 Thinking Hats,"Analyitisch (Weiß), Emotional (Rot), Kritisch (Schwarz), Optimistisch (Gelb), Kreativ (Grün), Überblick (Blau)",2024-08-05 11:24:46,2024-08-05 11:24:46
