id,name,description,created_at,updated_at
1,roter Hut,emotionales Denken,,
2,blauer Hut,ordnendes Denken,,
3,grüner Hut,kreatives Denken,,
4,schwarzer Hut,Kritisches Denken,,
5,weißer Hut,analytisches Denken,,
6,gelber Hut,optimistisches Denken,,
10,Stern,ausgewogen,,
11,Kreis,ausgewogen,,
12,Ring,ausgewogen,,
13,Quadrat,ausgewogen,,
14,Dreieck,ausgewogen,,
15,Blatt,ausgewogen,,
16,Schneeflocke,ausgewogen,,
17,Tropfen,ausgewogen,,
18,Wolke,ausgewogen,,
19,Anker,ausgewogen,,
